goodreads_book_id,tag_id,count,tag_name
6,22743,4977,owned
136251,11557,40884,favorites
136251,11305,37296,fantasy
136251,33114,12937,young-adult
136251,11743,10012,fiction
136251,14017,7194,harry-potter
968,11743,13725,fiction
968,8717,9968,currently-reading
968,11557,6024,favorites
968,30358,5358,thriller
968,30574,5231,to-read
1,30574,167697,to-read
1,11305,37174,fantasy
1,11557,34173,favorites
1,8717,12986,currently-reading
1,33114,12716,young-adult
7624,7457,20516,classics
7624,30574,13367,to-read
7624,11743,11132,fiction
7624,11557,6290,favorites
7624,7404,3543,classic
18135,30574,279627,to-read
18135,7457,20507,classics
18135,23743,7751,plays
18135,11743,4632,fiction
18135,26138,4204,romance
8442457,30574,78940,to-read
8442457,11557,9460,favorites
8442457,20939,8307,mystery
8442457,8517,2134,crime
8442457,11743,1808,fiction
4667024,30574,25482,to-read
4667024,8717,16333,currently-reading
4667024,11557,14978,favorites
4667024,11743,9879,fiction
4667024,14487,8342,historical-fiction
890,7457,19214,classics
890,30574,12443,to-read
890,11743,9439,fiction
890,11557,5732,favorites
890,7404,3446,classic
930,30574,436097,to-read
930,11557,8385,favorites
930,11743,8127,fiction
930,14487,7195,historical-fiction
930,8717,6341,currently-reading
10818853,30574,7780,to-read
10818853,8717,2669,currently-reading
10818853,26138,1093,romance
10818853,4949,792,book-club
10818853,11865,528,fifty-shades
865,30574,596234,to-read
865,8717,26269,currently-reading
865,11743,9712,fiction
865,11557,8698,favorites
865,7457,3089,classics
3636,30574,8433,to-read
3636,11557,1057,favorites
3636,6857,825,children
3636,11743,642,fiction
3636,7457,540,classics
100915,11305,19280,fantasy
100915,30574,13571,to-read
100915,7457,7012,classics
100915,11557,6789,favorites
100915,11743,5422,fiction
14050,30574,9625,to-read
14050,11743,8573,fiction
14050,26138,4778,romance
14050,11305,3009,fantasy
14050,30464,2329,time-travel
13496,30574,28358,to-read
13496,11743,7784,fiction
13496,8717,7230,currently-reading
13496,22743,3383,owned
13496,10731,1593,epic-fantasy
19501,30574,5653,to-read
19501,21689,4773,non-fiction
19501,19733,2981,memoir
19501,31155,2025,travel
19501,8717,1830,currently-reading
28187,30574,32026,to-read
28187,11305,16461,fantasy
28187,11557,15458,favorites
28187,8717,14631,currently-reading
28187,33114,7898,young-adult
1934,30574,345105,to-read
1934,8717,27954,currently-reading
1934,7457,20533,classics
1934,11557,7377,favorites
1934,11743,5990,fiction
10210,30574,6084,to-read
10210,7563,2998,clàssics
10210,18367,1644,literature
10210,13446,1363,gothic
10210,14467,1060,historical
15931,30574,17835,to-read
15931,11743,3160,fiction
15931,21529,1896,nicholas-sparks
15931,8717,1595,currently-reading
15931,6750,1440,chick-lit
4214,30574,11658,to-read
4214,11305,2012,fantasy
4214,4949,1547,book-club
4214,8717,1458,currently-reading
4214,1691,1325,adventure
43641,30574,44563,to-read
43641,8717,3245,currently-reading
43641,11743,1937,fiction
43641,11557,1681,favorites
43641,14487,1445,historical-fiction
19063,11557,30427,favorites
19063,30574,16417,to-read
19063,14487,13616,historical-fiction
19063,11743,9253,fiction
19063,33114,8605,young-adult
4381,30574,16325,to-read
4381,7457,14903,classics
4381,8717,12454,currently-reading
4381,11557,10292,favorites
4381,11743,9502,fiction
49041,30574,79441,to-read
49041,33114,12552,young-adult
49041,11305,10301,fantasy
49041,26138,6697,romance
49041,8717,6421,currently-reading
30119,30574,12135,to-read
30119,23831,9108,poetry
30119,11557,3194,favorites
30119,6953,3109,childrens
30119,6857,1933,children
256683,11557,17635,favorites
256683,33114,11360,young-adult
256683,30574,9054,to-read
256683,22973,4297,paranormal
256683,26138,3205,romance
428263,33114,12141,young-adult
428263,11305,9913,fantasy
428263,11557,6592,favorites
428263,26138,6445,romance
428263,31745,5997,vampires
113436,11305,18952,fantasy
113436,30574,18656,to-read
113436,11557,5712,favorites
113436,33114,5509,young-adult
113436,11743,2492,fiction
11,30574,32303,to-read
11,8717,11955,currently-reading
11,26837,10977,science-fiction
11,11557,10173,favorites
11,26771,9773,sci-fi
5129,30574,16180,to-read
5129,7457,12212,classics
5129,11743,9497,fiction
5129,11557,7545,favorites
5129,26837,7151,science-fiction
1162543,30574,2630,to-read
1162543,11305,596,fantasy
1162543,9221,563,default
1162543,33114,496,young-adult
1162543,26785,362,sci-fi-fantasy
37435,30574,286899,to-read
37435,11743,6543,fiction
37435,8717,5240,currently-reading
37435,11557,4387,favorites
37435,14487,2035,historical-fiction
2956,8717,20158,currently-reading
2956,7457,17401,classics
2956,11743,7519,fiction
2956,7404,3227,classic
2956,11557,2615,favorites
24178,30574,47419,to-read
24178,7457,5641,classics
24178,6953,4218,childrens
24178,11743,3568,fiction
24178,6857,2819,children
1618,30574,31674,to-read
1618,8717,1189,currently-reading
1618,11743,1099,fiction
1618,11557,672,favorites
1618,33114,380,young-adult
22557272,30574,18909,to-read
22557272,20939,7100,mystery
22557272,11743,6964,fiction
22557272,30358,4653,thriller
22557272,4949,3466,book-club
119322,30574,276683,to-read
119322,11305,18539,fantasy
119322,11557,7170,favorites
119322,33114,6248,young-adult
119322,8717,5693,currently-reading
6185,7457,23760,classics
6185,11557,9957,favorites
6185,30574,9798,to-read
6185,11743,6848,fiction
6185,7404,3967,classic
10917,30574,197630,to-read
10917,11743,4763,fiction
10917,8717,4490,currently-reading
10917,11557,4183,favorites
10917,5207,1284,books-i-own
4981,30574,443942,to-read
4981,8717,11267,currently-reading
4981,7457,9243,classics
4981,11743,8881,fiction
4981,11557,7697,favorites
18405,30574,454565,to-read
18405,7457,10242,classics
18405,11557,7738,favorites
18405,14487,5000,historical-fiction
18405,11743,4259,fiction
128029,30574,14805,to-read
128029,11557,9147,favorites
128029,11743,6699,fiction
128029,14487,2717,historical-fiction
128029,4949,1310,book-club
22628,11557,23350,favorites
22628,30574,15097,to-read
22628,11743,5424,fiction
22628,32989,4353,ya
22628,5207,3300,books-i-own
11735983,30574,204393,to-read
11735983,8717,23192,currently-reading
11735983,11557,12604,favorites
11735983,33114,12333,young-adult
11735983,10064,9113,dystopian
375802,30574,277113,to-read
375802,26837,13142,science-fiction
375802,11557,12982,favorites
375802,26771,12349,sci-fi
375802,8717,9451,currently-reading
18490,7457,19277,classics
18490,11743,6948,fiction
18490,14821,6371,horror
18490,11557,5805,favorites
18490,30574,2967,to-read
11588,11743,3989,fiction
11588,22743,1028,owned
11588,30574,907,to-read
11588,11305,558,fantasy
11588,17273,443,king
1656001,30574,9036,to-read
1656001,26771,3642,sci-fi
1656001,26837,3479,science-fiction
1656001,11743,2291,fiction
1656001,10064,1641,dystopian
99561,11557,15971,favorites
99561,33114,9825,young-adult
99561,30574,6920,to-read
99561,32989,4713,ya
99561,5207,3993,books-i-own
227443,30574,18024,to-read
227443,6750,4141,chick-lit
227443,11743,3836,fiction
227443,8717,2191,currently-reading
227443,26138,2122,romance
14935,11743,5117,fiction
14935,11557,4614,favorites
14935,5207,2085,books-i-own
14935,22743,1534,owned
14935,14487,1155,historical-fiction
38709,30574,6876,to-read
38709,33114,4277,young-adult
38709,11743,3049,fiction
38709,8717,2837,currently-reading
38709,32989,1515,ya
5139,30574,173514,to-read
5139,6750,3371,chick-lit
5139,11743,2451,fiction
5139,5207,701,books-i-own
5139,11557,694,favorites
1381,30574,238730,to-read
1381,7457,14238,classics
1381,8717,6696,currently-reading
1381,11743,3670,fiction
1381,23831,3418,poetry
157993,30574,6945,to-read
157993,11305,3739,fantasy
157993,6953,2676,childrens
157993,6857,2207,children
157993,7404,1837,classic
7445,30574,260535,to-read
7445,8717,11439,currently-reading
7445,11557,5709,favorites
7445,21689,4738,non-fiction
7445,19733,4218,memoir
1845,30574,144278,to-read
1845,21689,6361,non-fiction
1845,8717,6049,currently-reading
1845,11557,3214,favorites
1845,21773,2370,nonfiction
1953,30574,402942,to-read
1953,8717,33064,currently-reading
1953,7457,16170,classics
1953,11743,5394,fiction
1953,11557,4000,favorites
7677,30574,139262,to-read
7677,26837,4264,science-fiction
7677,11743,4246,fiction
7677,26771,3325,sci-fi
7677,11557,2995,favorites
370493,30574,181787,to-read
370493,11557,3964,favorites
370493,6953,3359,childrens
370493,8717,2536,currently-reading
370493,6857,2324,children
32542,30574,19224,to-read
32542,11743,2571,fiction
32542,8717,2096,currently-reading
32542,20939,1115,mystery
32542,30358,989,thriller
1617,30574,51054,to-read
1617,21689,5705,non-fiction
1617,8717,4704,currently-reading
1617,11557,3917,favorites
1617,7457,3905,classics
6442769,33114,1443,young-adult
6442769,16511,1431,john-green
6442769,30574,1007,to-read
6442769,22753,1006,owned-books
6442769,11590,835,favourites
21787,11590,594,favourites
21787,30521,454,to-buy
21787,8717,453,currently-reading
21787,26785,451,sci-fi-fantasy
21787,32989,430,ya
231804,30574,12167,to-read
231804,11557,7302,favorites
231804,11743,3636,fiction
231804,32989,2192,ya
231804,7457,1995,classics
6186357,30574,380255,to-read
6186357,8717,20225,currently-reading
6186357,33114,8580,young-adult
6186357,11557,7995,favorites
6186357,10064,5694,dystopian
1202,30574,9160,to-read
1202,21773,2959,nonfiction
1202,26816,878,science
1202,8717,817,currently-reading
1202,21689,623,non-fiction
2998,30574,222156,to-read
2998,7457,12224,classics
2998,8717,6309,currently-reading
2998,11557,5435,favorites
2998,11743,3873,fiction
320,7457,5578,classics
320,30574,4805,to-read
320,22743,1207,owned
320,18367,1174,literature
320,7404,920,classic
5297,30574,358381,to-read
5297,8717,39631,currently-reading
5297,7457,18319,classics
5297,11557,9811,favorites
5297,11743,6774,fiction
13536860,11557,4770,favorites
13536860,10825,1774,erotica
13536860,11743,1364,fiction
13536860,27199,1187,series
13536860,4055,1135,bdsm
17245,30574,287576,to-read
17245,8717,28995,currently-reading
17245,7457,14939,classics
17245,14821,7930,horror
17245,11743,5137,fiction
5060378,30574,18081,to-read
5060378,11743,6521,fiction
5060378,20939,5430,mystery
5060378,8517,2381,crime
5060378,5207,1453,books-i-own
11857408,30574,3222,to-read
11857408,26138,284,romance
11857408,13792,136,guilty-pleasure
11857408,11595,117,favs
11857408,5207,104,books-i-own
7244,30574,29099,to-read
7244,11557,4796,favorites
7244,14487,2272,historical-fiction
7244,8717,1301,currently-reading
7244,11743,1220,fiction
4137,30574,5143,to-read
4137,15048,3613,humor
4137,21689,3509,non-fiction
4137,11557,2655,favorites
4137,19733,2043,memoir
19543,30574,7348,to-read
19543,6953,3472,childrens
19543,23605,2828,picture-books
19543,6857,2373,children
19543,6895,2366,children-s-books
7126,7457,13748,classics
7126,11557,7185,favorites
7126,11743,5012,fiction
7126,30574,2726,to-read
7126,7404,2557,classic
6288,8717,6918,currently-reading
6288,11557,5849,favorites
6288,26837,2097,science-fiction
6288,10059,1750,dystopia
6288,10064,1579,dystopian
18710190,30574,225359,to-read
18710190,8717,20207,currently-reading
18710190,33114,9373,young-adult
18710190,10064,6983,dystopian
18710190,11557,6314,favorites
9418327,30574,332278,to-read
9418327,8717,9704,currently-reading
9418327,21689,6675,non-fiction
9418327,15048,3748,humor
9418327,19733,3631,memoir
3473,30574,1832,to-read
3473,22743,471,owned
3473,1642,299,adult
3473,22753,257,owned-books
3473,8717,243,currently-reading
9416,30574,7339,to-read
9416,11557,1155,favorites
9416,28141,427,sophie-kinsella
9416,6729,350,chic-lit
9416,12680,250,funny
24280,30574,488469,to-read
24280,8717,64311,currently-reading
24280,7457,12407,classics
24280,11557,5579,favorites
24280,11743,3888,fiction
10572,30574,125170,to-read
10572,8717,30292,currently-reading
10572,11305,26321,fantasy
10572,11557,6690,favorites
10572,11743,5231,fiction
10441,11743,3737,fiction
10441,30574,2126,to-read
10441,4949,1186,book-club
10441,11557,799,favorites
10441,5207,755,books-i-own
15507958,30574,3184,to-read
15507958,11557,760,favorites
15507958,17213,661,kindle
15507958,26138,609,romance
15507958,3389,466,audiobook
168668,30574,465640,to-read
168668,8717,16446,currently-reading
168668,7457,8530,classics
168668,11743,7409,fiction
168668,11557,5390,favorites
6900,30574,139123,to-read
6900,8717,5394,currently-reading
6900,11557,3542,favorites
6900,21689,3467,non-fiction
6900,11743,1317,fiction
2187,30574,299006,to-read
2187,8717,7904,currently-reading
2187,11743,6142,fiction
2187,11557,4701,favorites
2187,4949,1202,book-club
24583,7457,10669,classics
24583,8717,9693,currently-reading
24583,11743,4383,fiction
24583,7404,2038,classic
24583,11557,1365,favorites
18131,30574,228455,to-read
18131,11305,8912,fantasy
18131,8717,6178,currently-reading
18131,11557,5780,favorites
18131,33114,4618,young-adult
7763,30574,13265,to-read
7763,11557,1884,favorites
7763,7457,982,classics
7763,7009,517,china
7763,11743,461,fiction
38447,30574,348218,to-read
38447,8717,47919,currently-reading
38447,11743,9562,fiction
38447,11557,8766,favorites
38447,7457,5711,classics
452306,30574,20223,to-read
452306,33114,4331,young-adult
452306,32989,2004,ya
452306,11743,1445,fiction
452306,11557,1436,favorites
7604,30574,6825,to-read
7604,18367,1150,literature
7604,11743,1029,fiction
7604,11557,1006,favorites
7604,7457,819,classics
37442,11557,2724,favorites
37442,30574,2255,to-read
37442,5207,1466,books-i-own
37442,22743,1229,owned
37442,27199,688,series
5358,30574,2988,to-read
5358,11743,2741,fiction
5358,30358,1251,thriller
5358,20939,1180,mystery
5358,8717,1076,currently-reading
7937843,30574,302652,to-read
7937843,8717,8697,currently-reading
7937843,11743,5921,fiction
7937843,11557,3827,favorites
7937843,4949,2677,book-club
1420,30574,139322,to-read
1420,8717,14487,currently-reading
1420,7457,13787,classics
1420,23743,6984,plays
1420,11557,5203,favorites
234225,30574,232155,to-read
234225,8717,12850,currently-reading
234225,26837,9794,science-fiction
234225,26771,8479,sci-fi
234225,11557,5776,favorites
2612,30574,320295,to-read
2612,8717,9353,currently-reading
2612,21689,6234,non-fiction
2612,21773,2179,nonfiction
2612,5951,2079,business
11084145,30574,60387,to-read
11084145,4605,4555,biography
11084145,21689,2541,non-fiction
11084145,8717,1295,currently-reading
11084145,11557,1187,favorites
332613,30574,8580,to-read
332613,7457,6560,classics
332613,8717,6143,currently-reading
332613,11743,5244,fiction
332613,11557,4099,favorites
2165,7457,10485,classics
2165,11743,6306,fiction
2165,8717,5831,currently-reading
2165,11557,2735,favorites
2165,7404,1875,classic
4395,30574,28776,to-read
4395,7457,10927,classics
4395,11743,5804,fiction
4395,11557,3727,favorites
4395,7404,1800,classic
3431,30574,9801,to-read
3431,8717,470,currently-reading
3431,28341,303,spiritual
3431,11743,245,fiction
3431,11557,225,favorites
8127,11557,6626,favorites
8127,8717,5084,currently-reading
8127,11743,3489,fiction
8127,33114,2896,young-adult
8127,7404,1773,classic
3777732,11305,8665,fantasy
3777732,8717,7402,currently-reading
3777732,33114,7108,young-adult
3777732,30574,3665,to-read
3777732,32989,3329,ya
62291,30574,128061,to-read
62291,11305,22080,fantasy
62291,8717,17881,currently-reading
62291,11557,9069,favorites
62291,11743,4374,fiction
137791,11743,2453,fiction
137791,6750,1133,chick-lit
137791,11557,927,favorites
137791,30574,622,to-read
137791,8717,343,currently-reading
10964,30574,21272,to-read
10964,14487,8429,historical-fiction
10964,11557,8122,favorites
10964,26138,6193,romance
10964,11305,5077,fantasy
12296,26735,1345,school
12296,5207,1295,books-i-own
12296,18367,1181,literature
12296,22743,1160,owned
12296,25114,633,read-for-school
9460487,11305,9445,fantasy
9460487,33114,7740,young-adult
9460487,30574,5782,to-read
9460487,11557,5454,favorites
9460487,11743,3710,fiction
6892870,30574,128205,to-read
6892870,8717,8458,currently-reading
6892870,11743,5675,fiction
6892870,20939,4304,mystery
6892870,11557,3747,favorites
18007564,26771,7905,sci-fi
18007564,30574,2836,to-read
18007564,4949,1397,book-club
18007564,25151,1339,read-in-2015
18007564,22743,1313,owned
5043,14487,7569,historical-fiction
5043,30574,7193,to-read
5043,11557,4593,favorites
5043,11743,4141,fiction
5043,14467,1485,historical
18143977,30574,505884,to-read
18143977,8717,40187,currently-reading
18143977,14487,8742,historical-fiction
18143977,11557,6099,favorites
18143977,11743,6077,fiction
8664353,30574,14268,to-read
8664353,8717,13236,currently-reading
8664353,21689,5522,non-fiction
8664353,11557,3838,favorites
8664353,14552,3265,history
976,30574,18861,to-read
976,11743,3201,fiction
976,30358,2273,thriller
976,20939,1594,mystery
976,8865,1372,dan-brown
17333223,30574,47598,to-read
17333223,8717,25951,currently-reading
17333223,11743,5434,fiction
17333223,11557,3469,favorites
17333223,4949,2003,book-club
1217100,11557,8280,favorites
1217100,32989,3600,ya
1217100,5207,2155,books-i-own
1217100,25438,1338,realistic-fiction
1217100,22743,1225,owned
2865,30574,177278,to-read
2865,14487,5028,historical-fiction
2865,11743,2943,fiction
2865,11557,1621,favorites
2865,14467,960,historical
4374400,30574,378509,to-read
4374400,8717,11395,currently-reading
4374400,33114,6931,young-adult
4374400,11557,5889,favorites
4374400,32989,3304,ya
4989,30574,4362,to-read
4989,22743,289,owned
4989,14487,270,historical-fiction
4989,14552,231,history
4989,8717,228,currently-reading
28186,30574,86671,to-read
28186,11305,10652,fantasy
28186,11557,7650,favorites
28186,8717,5805,currently-reading
28186,33114,4885,young-adult
5526,30574,158655,to-read
5526,8717,3084,currently-reading
5526,26138,2802,romance
5526,21529,1761,nicholas-sparks
5526,11557,1433,favorites
1582996,30574,149747,to-read
1582996,11557,10688,favorites
1582996,8717,10081,currently-reading
1582996,11305,9290,fantasy
1582996,33114,7781,young-adult
8852,8717,9068,currently-reading
8852,23743,6529,plays
8852,11557,3309,favorites
8852,30574,2830,to-read
8852,11743,2694,fiction
15241,30574,113180,to-read
15241,11305,22700,fantasy
15241,11557,7893,favorites
15241,8717,7676,currently-reading
15241,7457,5219,classics
42156,30574,75796,to-read
42156,6750,3103,chick-lit
42156,26138,1431,romance
42156,11557,1263,favorites
42156,8717,751,currently-reading
23772,6953,3191,childrens
23772,30574,3171,to-read
23772,6857,2181,children
23772,6895,2010,children-s-books
23772,23605,1817,picture-books
6310,11743,2623,fiction
6310,6857,2210,children
6310,11557,1807,favorites
6310,6828,1364,childhood
6310,30574,1235,to-read
2120932,30574,98450,to-read
2120932,11305,9218,fantasy
2120932,11557,8641,favorites
2120932,33114,4230,young-adult
2120932,8717,4158,currently-reading
2623,30574,227548,to-read
2623,8717,17320,currently-reading
2623,7457,15539,classics
2623,11743,5149,fiction
2623,11557,3134,favorites
18512,30574,117438,to-read
18512,11305,21885,fantasy
18512,11557,8475,favorites
18512,11743,5010,fiction
18512,7457,4963,classics
49552,7457,6783,classics
49552,11743,6137,fiction
49552,11557,5060,favorites
49552,23471,3121,philosophy
49552,30574,2906,to-read
7736182,30574,10906,to-read
7736182,11305,2394,fantasy
7736182,11557,2053,favorites
7736182,8717,1125,currently-reading
7736182,33114,994,young-adult
15745753,30574,93576,to-read
15745753,8717,23261,currently-reading
15745753,11557,12088,favorites
15745753,33114,9280,young-adult
15745753,32989,5309,ya
13497,11305,21423,fantasy
13497,11743,4169,fiction
13497,11557,4144,favorites
13497,22743,1954,owned
13497,5207,1688,books-i-own
7735333,30574,70722,to-read
7735333,8717,9058,currently-reading
7735333,33114,6907,young-adult
7735333,10064,5491,dystopian
7735333,10059,3995,dystopia
4407,11305,16071,fantasy
4407,11557,7662,favorites
4407,30574,6635,to-read
4407,11743,6342,fiction
4407,31617,2048,urban-fantasy
149267,30574,168898,to-read
149267,8717,11064,currently-reading
149267,14821,6522,horror
149267,11557,4908,favorites
149267,11743,3813,fiction
6400090,30574,42547,to-read
6400090,8717,3776,currently-reading
6400090,11557,2542,favorites
6400090,26138,2496,romance
6400090,21529,1683,nicholas-sparks
11125,30574,6381,to-read
11125,11743,3234,fiction
11125,30358,2213,thriller
11125,20939,1479,mystery
11125,8865,1378,dan-brown
6969,8717,18466,currently-reading
6969,7457,16215,classics
6969,30574,8325,to-read
6969,11743,4470,fiction
6969,11557,4200,favorites
15823480,7457,13442,classics
15823480,30574,7335,to-read
15823480,11743,5054,fiction
15823480,11557,4682,favorites
15823480,7404,2073,classic
227463,30574,19275,to-read
227463,26771,1286,sci-fi
227463,10064,1251,dystopian
227463,7404,927,classic
227463,18367,687,literature
1812457,30574,137492,to-read
1812457,8717,14349,currently-reading
1812457,11743,2596,fiction
1812457,11557,1546,favorites
1812457,7077,1362,christian
4502507,11557,10495,favorites
4502507,11305,8869,fantasy
4502507,30574,6917,to-read
4502507,33114,4151,young-adult
4502507,8717,3989,currently-reading
18342,30574,214212,to-read
18342,8717,22547,currently-reading
18342,14821,8415,horror
18342,11557,3290,favorites
18342,28663,2963,stephen-king
7144,11743,5706,fiction
7144,30574,4609,to-read
7144,7404,1855,classic
7144,26374,1712,russian
7144,18367,1409,literature
6514,30574,24581,to-read
6514,8717,1718,currently-reading
6514,11557,1560,favorites
6514,7457,1423,classics
6514,11743,819,fiction
252577,30574,113093,to-read
252577,21689,2853,non-fiction
252577,8717,2527,currently-reading
252577,11557,2207,favorites
252577,19733,2150,memoir
52036,30574,166101,to-read
52036,8717,13918,currently-reading
52036,7457,4693,classics
52036,11743,4490,fiction
52036,11557,3641,favorites
168642,30574,231340,to-read
168642,8717,6807,currently-reading
168642,21689,5568,non-fiction
168642,11557,2873,favorites
168642,7457,2846,classics
6304335,30574,19092,to-read
6304335,8717,8657,currently-reading
6304335,33114,4950,young-adult
6304335,11305,4509,fantasy
6304335,11557,2894,favorites
7171637,11557,14240,favorites
7171637,11305,7552,fantasy
7171637,33114,6090,young-adult
7171637,5207,2922,books-i-own
7171637,32989,2857,ya
39988,30574,2334,to-read
39988,33114,1019,young-adult
39988,5207,950,books-i-own
39988,6960,722,childrens-books
39988,6838,573,childhood-favorites
9361589,8717,16739,currently-reading
9361589,11305,11645,fantasy
9361589,11557,7767,favorites
9361589,11743,5288,fiction
9361589,30574,4612,to-read
37470,30574,93766,to-read
37470,14487,7515,historical-fiction
37470,8717,2566,currently-reading
37470,11557,2236,favorites
37470,11743,2081,fiction
24770,30574,58046,to-read
24770,8717,6856,currently-reading
24770,33114,6804,young-adult
24770,11557,4194,favorites
24770,10064,4021,dystopian
10664113,30574,163132,to-read
10664113,8717,20601,currently-reading
10664113,11305,18409,fantasy
10664113,11557,4214,favorites
10664113,11743,3591,fiction
33,30574,116442,to-read
33,11305,13690,fantasy
33,8717,11180,currently-reading
33,11557,8090,favorites
33,7457,3904,classics
12262741,8717,12835,currently-reading
12262741,21689,4891,non-fiction
12262741,19733,3547,memoir
12262741,11557,2595,favorites
12262741,4949,2382,book-club
472331,30574,68157,to-read
472331,13561,8098,graphic-novels
472331,11557,5073,favorites
472331,8717,4557,currently-reading
472331,13547,3793,graphic-novel
186074,30574,283253,to-read
186074,11305,20679,fantasy
186074,8717,18236,currently-reading
186074,11557,11116,favorites
186074,11743,2801,fiction
3228917,30574,3195,to-read
3228917,21773,2379,nonfiction
3228917,8717,2298,currently-reading
3228917,24526,1576,psychology
3228917,21689,835,non-fiction
153747,30574,255686,to-read
153747,8717,23315,currently-reading
153747,7457,9249,classics
153747,11743,4630,fiction
153747,11557,2030,favorites
2728527,30574,42614,to-read
2728527,14487,5354,historical-fiction
2728527,11743,4380,fiction
2728527,4949,3285,book-club
2728527,11557,1300,favorites
5759,30574,8086,to-read
5759,11743,5131,fiction
5759,11557,5121,favorites
5759,8055,969,contemporary
5759,22743,880,owned
301082,30574,7281,to-read
301082,11305,4300,fantasy
301082,31745,3690,vampires
301082,8717,2983,currently-reading
301082,22973,2896,paranormal
11486,30574,4563,to-read
11486,11743,870,fiction
11486,11557,779,favorites
11486,14487,502,historical-fiction
11486,22585,275,our-shared-shelf
12691,30574,42125,to-read
12691,21689,2229,non-fiction
12691,8717,1819,currently-reading
12691,11557,1457,favorites
12691,21773,810,nonfiction
16299,30574,238965,to-read
16299,20939,8809,mystery
16299,8717,6482,currently-reading
16299,11557,5909,favorites
16299,7457,3927,classics
6411961,30574,98533,to-read
6411961,8717,8858,currently-reading
6411961,11743,4749,fiction
6411961,20939,3129,mystery
6411961,30358,2703,thriller
6339664,30574,17751,to-read
6339664,11557,6499,favorites
6339664,33114,4680,young-adult
6339664,8717,4049,currently-reading
6339664,11305,3508,fantasy
11505797,30574,22971,to-read
11505797,11557,8415,favorites
11505797,26138,3618,romance
11505797,21387,2767,new-adult
11505797,8055,1468,contemporary
5326,30574,109744,to-read
5326,7457,12436,classics
5326,8717,8091,currently-reading
5326,11743,4069,fiction
5326,11557,2270,favorites
43763,30574,19457,to-read
43763,11305,2023,fantasy
43763,14821,1949,horror
43763,8717,1583,currently-reading
43763,11557,1358,favorites
10507293,30574,47005,to-read
10507293,11557,8956,favorites
10507293,33114,5878,young-adult
10507293,26138,4161,romance
10507293,10064,4129,dystopian
